code,name,entry,exit,held_days,entry_px,exit_px,return,reason
9543,静岡ガス,2025-01-06,2025-02-04,20,1036.3,958.3,-7.53,トレール
5301,東海カーボン,2025-01-06,2025-02-04,20,898.5,816.0,-9.18,トレール
1879,新日本建設,2025-01-06,2025-02-19,30,1491.7,1383.6,-7.24,トレール
4221,大倉工業,2025-01-06,2025-04-04,60,2894.6,3455.3,19.37,トレール
1815,鉄建建設,2025-02-19,2025-04-04,30,2378.8,2231.4,-6.2,トレール
7989,立川ブラインド工業,2025-01-06,2026-01-29,260,1342.6,1922.0,43.16,時間切れ
4463,日華化学,2025-02-19,2026-03-16,260,1164.1,1721.0,47.84,時間切れ
5703,日本軽金属ホールディングス,2026-01-29,2026-03-16,30,2759.3,2754.4,-0.18,トレール
4928,ノエビアホールディングス,2025-05-07,2026-05-18,250,3996.4,4190.0,4.84,トレール
2001,ニップン,2025-05-07,2026-06-01,260,2178.4,2583.0,18.57,トレール
7296,エフ・シー・シー,2026-04-14,2026-06-11,37,3495.0,3405.0,-2.58,期末
9042,阪急阪神ホールディングス,2026-04-14,2026-06-11,37,4794.0,4721.0,-1.52,期末
3031,ラクーンホールディングス,2026-04-14,2026-06-11,37,667.8,637.0,-4.62,期末
9702,アイ・エス・ビー,2026-06-01,2026-06-11,7,2357.0,2313.0,-1.87,期末
