code,name,entry,exit,held_days,entry_px,exit_px,return,reason
6718,アイホン,2024-07-01,2024-08-14,30,2876.6,2529.2,-12.08,トレール
9856,ケーユーホールディングス,2024-07-01,2024-08-14,30,1165.3,951.9,-18.32,トレール
8425,みずほリース,2024-07-01,2024-08-14,30,1046.2,949.5,-9.24,トレール
8624,いちよし証券,2024-07-01,2024-08-14,30,756.8,627.4,-17.1,トレール
8881,日神グループホールディングス,2024-07-01,2024-08-14,30,521.5,443.9,-14.89,トレール
2676,高千穂交易,2024-08-14,2024-10-01,32,1798.2,1847.8,2.76,期末
6247,日阪製作所,2024-08-14,2024-10-01,32,942.1,990.5,5.13,期末
7240,ＮＯＫ,2024-08-14,2024-10-01,32,1943.9,2113.7,8.73,期末
7296,エフ・シー・シー,2024-08-14,2024-10-01,32,1941.1,2187.6,12.7,期末
8097,三愛オブリ,2024-08-14,2024-10-01,32,1724.1,1815.9,5.33,期末
