code,name,entry,exit,held_days,entry_px,exit_px,return,reason
6718,アイホン,2024-07-01,2024-10-01,62,2876.6,2639.6,-8.24,期末
4345,シーティーエス,2024-07-01,2024-10-01,62,755.7,800.9,5.99,期末
9856,ケーユーホールディングス,2024-07-01,2024-10-01,62,1165.3,983.4,-15.62,期末
8425,みずほリース,2024-07-01,2024-10-01,62,1046.2,941.2,-10.04,期末
8624,いちよし証券,2024-07-01,2024-10-01,62,756.8,633.8,-16.25,期末
