code,name,entry,exit,held_days,entry_px,exit_px,return,reason
9362,兵機海運,2025-01-06,2025-02-04,20,3549.5,3699.0,4.21,相場退避
1938,日本リーテック,2025-01-06,2025-02-04,20,1173.4,1250.8,6.6,相場退避
1879,新日本建設,2025-01-06,2025-02-04,20,1491.7,1507.8,1.08,相場退避
4221,大倉工業,2025-01-06,2025-02-04,20,2894.6,2863.9,-1.06,相場退避
6419,マースグループホールディングス,2025-01-06,2025-02-04,20,3106.8,2957.8,-4.8,相場退避
3443,川田テクノロジーズ,2025-02-19,2025-03-06,10,973.2,940.5,-3.36,相場退避
3771,システムリサーチ,2025-02-19,2025-03-06,10,1544.3,1540.6,-0.24,相場退避
4189,ＫＨネオケム,2025-02-19,2025-03-06,10,2377.5,2414.0,1.53,相場退避
7972,イトーキ,2025-02-19,2025-03-06,10,1696.4,1600.3,-5.66,相場退避
4633,サカタインクス,2025-02-19,2025-03-06,10,1718.0,1860.6,8.3,相場退避
3248,アールエイジ,2025-05-07,2026-03-16,210,787.3,877.8,11.49,相場退避
4243,ニックス,2025-05-07,2026-03-16,210,724.1,853.0,17.79,相場退避
1333,Ｕｍｉｏｓ,2025-05-07,2026-03-16,210,1037.4,1430.3,37.87,相場退避
1721,コムシスホールディングス,2025-05-07,2026-03-16,210,3141.2,5267.0,67.68,相場退避
1786,オリエンタル白石,2025-05-07,2026-03-16,210,367.5,384.2,4.56,相場退避
8616,東海東京フィナンシャル・ホールディングス,2026-04-14,2026-06-11,37,757.0,713.0,-5.81,期末
8014,蝶理,2026-04-14,2026-06-11,37,4455.0,3875.0,-13.02,期末
8097,三愛オブリ,2026-04-14,2026-06-11,37,2352.0,2089.0,-11.18,期末
9310,日本トランスシティ,2026-04-14,2026-06-11,37,1258.0,1068.0,-15.1,期末
2659,サンエー,2026-04-14,2026-06-11,37,3375.0,3225.0,-4.44,期末
