code,name,entry,exit,held_days,entry_px,exit_px,return,reason
2288,丸大食品,2025-09-01,2025-10-16,30,1957.3,1779.8,-9.07,トレール
2331,ＡＬＳＯＫ,2025-09-01,2025-10-16,30,1122.9,1058.5,-5.74,トレール
1847,イチケン,2025-09-01,2025-12-15,70,1710.2,2255.1,31.86,時間切れ
1860,戸田建設,2025-09-01,2025-12-15,70,1003.8,1224.5,21.99,時間切れ
2112,塩水港精糖,2025-09-01,2025-12-15,70,380.5,499.0,31.14,時間切れ
2117,ウェルネオシュガー,2025-10-16,2025-12-15,40,2561.8,2746.6,7.21,期末
2207,ｍｅｉｔｏ,2025-12-15,2025-12-15,0,2358.4,2358.4,0.0,期末
2269,明治ホールディングス,2025-12-15,2025-12-15,0,3301.4,3301.4,0.0,期末
2462,ライク,2025-12-15,2025-12-15,0,1506.0,1506.0,0.0,期末
2461,ファンコミュニケーションズ,2025-12-15,2025-12-15,0,507.2,507.2,0.0,期末
