コード,銘柄名
4689,LY Corporation
6098,リクルート
8001,伊藤忠商事
8058,三菱商事
7203,トヨタ
7201,日産
4452,花王
9531,東京ガス
1951,エクシオグループ
1979,大気社
1980,ダイダン
3003,ヒューリック
3036,アルコニックス
8410,セブン銀行
2502,アサヒ
6265,コンバム
8818,京阪神ビルディング
3863,日本製紙
7085,カーブスホールディングス
7944,ローランド
7734,理研計器
9502,中部電力
2531,宝ホールディングス
7730,マニー
9678,カナモト
1959,クラフティア
7966,リンテック
8508,Ｊトラスト
6232,ＡＣＳＬ
7177,ＧＭＯフィナンシャルホールディングス
3401,帝人
